time(s),rx(m),ry(m),rz(m),vx(m/s),vy(m/s),vz(m/s)
3803.6027526578055,-3312652.7197964294,6027718.911208936,7917.994389233665,6671.561762294911,3666.469906000367,4.8162644230174445
3858.9582123827563,-2937360.8164638667,6219241.25576249,8169.577595406061,6883.54196224351,3251.0927148751152,4.270626128134556
3913.1780721633977,-2559072.4751307988,6384213.8018760355,8386.285061986095,7066.136521583881,2832.3989542013,3.7206311969413393
3966.0523241676374,-2181288.096466805,6522960.063391739,8568.54175583517,7219.703495668435,2414.2629057555705,3.171368874942054
4017.3949830148326,-1807287.7525716485,6636318.654289555,8717.449277888205,7345.171059926069,2000.314992009341,2.627608074752343
4067.0219680574623,-1440226.6622203407,6725529.770863874,8834.636746464283,7443.91186708254,1594.047448996228,2.0939361876768388
4114.725055935136,-1083287.0668439148,6792163.325969074,8922.166394616348,7517.663505252278,1198.982424260868,1.5749798966958353
4160.237780159269,-739908.2498459738,6838093.306767778,8982.49988654237,7568.500116619446,818.9265649398019,1.075739602643034
4203.179961611951,-414187.1258340599,6865524.374742705,9018.533259285128,7598.861838222287,458.41439494105776,0.6021718432054928
4238.573393245618,-144988.34738524363,6876477.852053412,9032.921715874816,7610.985819258143,160.46181191212838,0.21078217898381196
4267.265730717457,73425.02719898053,6877613.890643292,9034.414012929992,7612.243620108029,-81.28087894727679,-0.10677033102185429
4295.952914591034,291725.16063775995,6871816.022997974,9026.797950508804,7605.826871649342,-322.8982595234309,-0.4241582337964418
4328.950535305039,542449.0195903695,6856580.962729646,9006.7852187439,7588.96496026293,-600.4026669555868,-0.788687232809558
4366.327378896921,825555.5648548974,6828279.82728575,8969.608927852665,7557.641382483168,-913.7486920608,-1.2002976786878545
4407.01874084857,1132145.1932043768,6784186.643581927,8911.688247357579,7508.838970049461,-1253.0861506910046,-1.6460503975968863
4450.422826445997,1456627.9673278043,6721991.51072165,8829.988898021706,7440.001074673149,-1612.2280367535845,-2.117818155959721
4496.151779409065,1794840.8455467029,6639689.384179267,8721.877059068373,7348.908469314678,-1986.5666484107405,-2.6095482897692306
4543.931758325256,2143298.6881170054,6535533.154476212,8585.057732463922,7233.627413732139,-2372.2445923595455,-3.116173738172122
4593.552563407005,2498825.061141273,6408025.484155904,8417.564019991192,7092.5006190488075,-2765.7461528012605,-3.6330762669111887
4644.836408868241,2858336.0892678397,6255943.3249339545,8217.78932890819,6924.174383574091,-3163.6580566646094,-4.155772210204168
4697.614330448913,3218696.3739096434,6078396.249281394,7984.563996149622,6727.663155163533,-3562.510001798396,-4.679702989031885
4751.705621871096,3576620.3382983482,5874920.42227428,7717.278729480829,6502.453540952616,-3958.6654641335062,-5.200091675737343
4806.899671967223,3928622.103598732,5645602.499518681,7416.047359459068,6248.641439928977,-4348.266219682476,-5.711870118282407
4862.943113243514,4271037.308129456,5391209.163431367,7081.876997922783,5967.075416342811,-4727.256494261102,-6.209710663253312
4919.537844652171,4600145.012615304,5113272.828450343,6716.780620112004,5659.4515603981,-5091.517890062257,-6.68820339502363
4976.354519883849,4912391.4796583485,4814073.2043477185,6323.752846288647,5328.293083118654,-5437.1170684088565,-7.142181491112938
5033.05951567412,5204662.054003068,4496485.508875851,5906.570554300922,4976.782316412924,-5760.606671521307,-7.56711651216323
5089.345031885962,5474505.268787595,4163733.8596403967,5469.468935850346,4608.487763585359,-6059.273367544721,-7.959444233180009
5144.949962074544,5720233.5056072185,3819138.0105723254,5016.808810242903,4227.083783046275,-6331.2492635331855,-8.316710995311018
5199.665743042296,5940893.927520498,3465929.174614248,4552.834689594517,3836.1467373736427,-6575.47973442617,-8.63753144608129
5253.329686760755,6136159.31094436,3107158.515966766,4081.5545745065556,3439.0537103708884,-6791.6025946621785,-8.921429819569088
5305.811848117242,6306197.307236581,2745680.29211199,3606.7178094759483,3038.9638477144986,-6979.803395208236,-9.16864985499607
5357.0003423357,6451555.556534759,2384180.234845572,3131.8523641380098,2638.849768967436,-7140.688265930293,-9.379987762827334
5406.787346805666,6573076.682960381,2025227.7046120996,2660.33334305283,2241.5552923881555,-7275.1898309984845,-9.556668635515788
5455.055808462829,6671843.577073266,1671343.0316884536,2195.4714448918835,1849.869968893722,-7384.506646615638,-9.700266893074867
5501.665363289071,6749150.884911559,1325083.594661604,1740.6260348812293,1466.6243548476255,-7470.071644559018,-9.812664830604868
5546.434455752095,6806499.498588648,989165.6861585849,1299.3652272772204,1094.8248948254998,-7533.546034181732,-9.896044607979372
5589.11269880175,6845614.956730638,666663.3596403564,875.7270899484203,737.8740083316183,-7576.8396681927325,-9.952915002275827
5629.3293617659,6868499.295598213,361388.4265703303,474.7188075735946,399.9906767629677,-7602.168432188178,-9.986186794500448
5662.189004159545,6877097.80462633,111399.97175480376,146.3346855267459,123.29932811069449,-7611.685403975316,-9.998688261526876
5689.324498391258,6877341.60766658,-95166.06264597524,-125.00986877059086,-105.3313695160522,-7611.955249219639,-9.99904272947105
5715.292844721553,6871766.165120534,-292769.43134023517,-384.5810909298234,-324.04204030408175,-7605.784257370066,-9.990936532158157
5746.804152063395,6857378.188292861,-532211.00253974,-699.1108567059662,-589.0599224079353,-7589.859407184535,-9.970017694323177
5782.336596969652,6831150.431028166,-801416.221343993,-1052.738065181251,-887.0206963110345,-7560.830092931085,-9.93188486982224
5820.936466286791,6790688.624472606,-1092443.2183724004,-1435.0302993631342,-1209.1341660111025,-7516.046298947231,-9.873057005630802
5862.059300205694,6733950.001723968,-1400286.2478521229,-1839.4120258654184,-1549.8598846583334,-7453.247058222626,-9.790564101925405
5905.3542880122095,6659144.447948093,-1721243.5820040558,-2261.020665623423,-1905.1007132333616,-7370.451043859587,-9.681803493337908
5950.57799952176,6564684.400869981,-2052267.7820642889,-2695.853111758806,-2271.4836899163906,-7265.901118247814,-9.544467008909377
5997.552337485715,6449160.311132585,-2390651.743667314,-3140.3533196893777,-2646.012540082927,-7138.037172313333,-9.376505293804875
6046.140634373276,6311333.444288208,-2733853.4831603966,-3591.182146930833,-3025.873747080195,-6985.488158757723,-9.176117344199211
6096.23182790995,6150144.08943567,-3079385.1250719177,-4045.071527351427,-3408.313681938233,-6807.081177603343,-8.941762442023261
6147.727999539989,5964736.916356122,-3424733.4362468217,-4498.720085038697,-3790.5506495040295,-6601.8695419419,-8.672197022051334
6200.532623925115,5754507.912864128,-3767296.77700238,-4948.710313517292,-4169.70510527385,-6369.184728960752,-8.366542914621315
6254.537880623179,5519178.859928012,-4104333.324717067,-5391.440562402827,-4542.742348831062,-6108.718810131398,-8.024395625695432
6309.610312934532,5258903.75662733,-4432924.535632082,-5823.07704092846,-4906.432083297196,-5820.64224386163,-7.645979068952537
6365.575694302759,4974403.048587802,-4749968.914995259,-6239.545634423676,-5257.341520658786,-5505.752441298276,-7.232340721403336
6422.206567078615,4667101.666727245,-5052232.634262996,-6636.598394926545,-5591.891406394375,-5165.626549215793,-6.78555231855758
6479.218720550848,4339218.649084298,-5336485.430877596,-7009.992058744053,-5906.506436144643,-4802.720644073144,-6.3088401554545825
6536.282888017656,3993740.8600895507,-5599726.101050374,-7355.7842531295955,-6197.864835050111,-4420.340643175808,-5.806546875648502
6593.051898704841,3634244.6972992527,-5839449.266753545,-7670.6839206435125,-6463.193619533818,-4022.444966060908,-5.283872247766057
6649.193675939149,3264608.9667582153,-6053861.15799094,-7952.334770129156,-6700.50742785878,-3613.3267399125216,-4.746455711445446
6704.415839757515,2888726.815392431,-6241968.354409054,-8199.431847440344,-6908.706739764367,-3197.2949616556707,-4.199957552771361
6758.473363159662,2510312.9932780503,-6403533.843048311,-8411.66381302861,-7087.529239515254,-2778.4611729259223,-3.6497786811227995
